symbol,target_prob_acc,target_mfe_mae,target_mfe_r2,target_mae_mae,target_mae_r2
WIPRO,0.8436927178803533,1.9997974574263255,0.3223456220693284,2.441660808291346,0.07825994113942925
JSWSTEEL,0.7853691051491418,2.584612976171118,0.24978588023231596,2.5330929789119745,0.12323582147673584
HINDPETRO,0.7143111111111111,1.1101685474246104,0.4413538402530863,2.3770655288310563,-0.1582054934290531
CIPLA,0.7925333333333333,1.551330736310976,0.454046307624684,2.029615040682561,0.06979983005888746
IDFCFIRSTB,0.7955555555555556,2.602212523568602,0.5202670435116704,2.530295490613873,0.04237153483401379
EICHERMOT,0.7102149641726379,2.418547436228552,0.4156477175112575,3.275535798716116,0.0638453819826823
AXISBANK,0.7208798533577737,1.4739897712876353,0.7685882692351853,3.6204349487965906,-0.028112999113620196
TRENT,0.7705382436260623,2.660449936074879,0.4698456060164915,2.2990961785387696,0.26807240712644953
TATAPOWER,0.8503582736210632,2.025619427868046,0.4840137645661121,3.116495991383047,0.1754469809671011
TMPV,0.7993667722046326,1.5714450018940798,0.5445292494785643,2.707327519613944,0.24273219516987765
VEDL,0.8093651058156974,1.953824840953827,0.47278817276485574,2.878237649992792,0.07577211462263067
DRREDDY,0.7413764372604565,2.372075792248126,0.017761665360772283,3.183478088731176,0.040498407257263946
SUNPHARMA,0.8602666666666666,2.52998850297385,0.28671092317274194,1.946741559653966,0.18370354997282012
MARUTI,0.6805333333333333,2.666871729940822,0.4585762233551106,2.1668105418903227,-0.4464306747149964
LT,0.7363772704549242,1.4044554680788999,0.4453256752402739,3.054195518176931,0.1600368072753987
ZEEL,0.7698716880519914,1.5534591748903939,0.34401886914141233,3.056449108282835,0.1498234334898203
ACC,0.7219555555555556,2.548569642920978,0.21138821175875178,3.220380686205514,0.09850023523460671
DLF,0.7732044659223463,1.4738453228423065,0.5312508497766841,2.215139943864323,-1.1466425841192454
INDUSINDBK,0.7383769371771371,2.4475461706883004,0.5670171768312153,3.2821686476979663,-0.03581311279691324
JIOFIN,0.7683719380103317,1.707492806989363,0.5895736459599998,3.4855400165104773,0.08135942886766245
MAXHEALTH,0.8439111111111111,2.0248550805897536,0.19008062470875997,1.4862851264734258,0.30289443587540976
TITAN,0.6555574070988168,2.1395508317954723,-0.3764812524240624,3.8676277084126824,-0.06307155002753606
TATASTEEL,0.7368771871354775,2.7176507829167984,0.5195548455233561,3.4699613068940205,-0.10432846124385975
JINDALSTEL,0.6717213797700383,1.9696479622539185,0.6078847856436262,4.2478395240946245,0.015218756243328135
SHRIRAMFIN,0.8295111111111111,1.714739004665452,0.3673094141135663,3.2122413092018216,-0.07041768114412084
AUROPHARMA,0.7942009665055824,1.9692077179732748,0.5330069274655282,2.9543797626375286,0.10000352659461709
ETERNAL,0.7717047158806866,1.98537144218732,0.37228603340992117,2.0940467643796277,0.14272827679504174
BAJAJ-AUTO,0.6915514080986502,3.1853061162937153,0.2877993750861003,2.498020256765877,0.11520148343689651
